ID,SUS,EtOH,Weight,Diameter,Height,Volume,Density,Porosity,Shrinkage,Recovery,Modulus,A0,A1,t1,A2,t2,A3,t3,T,RS
1,0.4,1,0.05879,18.5,25.7,6.908225,8.510146,99.350866,53.945168,72.8,8.48,1.76,0.73,5.22,0.48,60.2,0.67,614,679,0.523
2,0.4,1,0.05902,19.0,26.0,7.371747,8.006243,99.389303,50.855019,79.2,8.25,2.05,0.59,4.98,0.42,56.5,0.55,618,680,0.603
3,0.3,1,0.04201,19.0,25.0,7.088218,5.926736,99.547922,52.745211,59.2,4.72,0.79,0.45,6.11,0.35,67.8,0.46,652,726,0.428
4,0.3,1,0.04156,18.6,24.6,6.684222,6.217627,99.525734,55.438519,74.4,3.11,0.81,0.27,5.16,0.18,59.3,0.26,643,707,0.575
5,0.3,1,0.04177,18.8,25.3,7.023056,5.947554,99.546335,53.179630,54.5,3.79,0.50,0.36,7.23,0.33,81.7,0.42,765,854,0.369
6,0.3,1,0.04148,19.0,26.0,7.371747,5.626889,99.570794,50.855019,66.2,3.40,0.67,0.29,6.36,0.24,70.0,0.35,745,821,0.483
7,0.24,1,0.03653,19.2,25.0,7.238229,5.046814,99.615041,51.745137,46.4,2.31,0.44,0.31,3.73,0.19,56.6,0.25,574,634,0.417
8,0.24,1,0.03367,18.9,25.0,7.013802,4.800535,99.633826,53.241320,67.6,1.83,0.29,0.17,8.07,0.16,67.7,0.24,700,776,0.391
9,0.24,0.5,0.03397,19.1,25.0,7.163028,4.742408,99.638260,52.246483,48.0,1.62,0.29,0.14,9.04,0.15,79.7,0.21,863,952,0.443
10,0.24,0.5,0.03411,18.6,25.0,6.792909,5.021413,99.616978,54.713942,56.0,1.91,0.25,0.22,5.65,0.18,55.0,0.21,493,554,0.323
11,0.24,0.5,0.03470,18.2,24.0,6.243727,5.557578,99.576081,58.375154,50.0,1.71,0.29,0.17,6.38,0.15,62.4,0.20,610,679,0.402
12,0.24,0.5,0.03470,18.5,23.0,6.182458,5.612654,99.571880,58.783613,59.6,1.70,0.29,0.17,5.38,0.13,57.6,0.21,618,681,0.414
13,0.3,0.5,0.04377,18.6,25.0,6.792909,6.443484,99.508506,54.713942,60.4,4.93,0.83,0.66,3.39,0.37,55.4,0.49,554,612,0.405
14,0.3,0.5,0.04321,18.3,24.0,6.312528,6.845118,99.477870,57.916481,64.6,4.86,0.79,0.50,5.95,0.39,60.9,0.48,585,651,0.404
15,0.3,0.5,0.04436,18.4,26.0,6.913514,6.416418,99.510571,53.909904,68.5,5.76,1.28,0.46,5.52,0.31,61.0,0.44,658,725,0.556
16,0.3,0.5,0.04283,19.0,25.4,7.201630,5.947265,99.546357,51.989134,63.0,4.74,0.80,0.66,3.55,0.39,51.5,0.49,539,594,0.389
17,0.24,0.2,0.03318,18.0,23.0,5.852787,5.669094,99.567575,60.981419,66.5,3.13,0.56,0.31,6.50,0.24,70.6,0.36,693,770,0.432
18,0.24,0.2,0.03362,17.5,23.0,5.532148,6.077205,99.536445,63.119011,57.4,4.18,0.57,0.45,5.73,0.35,58.7,0.44,569,633,0.353
19,0.24,0.2,0.03470,18.2,25.4,6.607944,5.251255,99.599447,55.947038,63.4,4.26,0.83,0.33,5.45,0.24,60.4,0.34,636,701,0.516
20,0.24,0.2,0.03397,18.5,24.7,6.639422,5.116409,99.609732,55.737185,68.0,3.40,0.80,0.26,5.45,0.19,62.4,0.27,663,731,0.570
21,0.3,0.2,0.04269,18.2,24.2,6.295758,6.780756,99.482780,58.028280,71.1,5.12,1.06,0.44,5.50,0.30,59.7,0.43,613,678,0.516
22,0.3,0.2,0.04349,18.0,24.8,6.310831,6.891327,99.474346,57.927791,54.0,5.23,0.53,0.82,4.06,0.53,57.9,0.48,497,559,0.257
23,0.3,0.2,0.04393,18.0,23.8,6.056362,7.253529,99.446718,59.624251,52.9,5.77,0.50,0.68,5.52,0.55,55.6,0.56,477,538,0.244
24,0.3,0.2,0.04323,18.0,24.5,6.234491,6.934007,99.471090,58.436729,52.2,5.37,0.59,0.60,5.78,0.48,60.7,0.57,513,580,0.296
25,0.4,0.2,0.05435,18.0,25.4,6.463513,8.408740,99.358601,56.909915,52.4,10.71,1.06,1.35,4.39,0.96,53.0,0.95,511,568,0.281
26,0.4,0.2,0.05547,18.3,24.6,6.470341,8.572964,99.346074,56.864393,66.7,10.31,1.95,0.86,5.33,0.60,58.5,0.82,602,666,0.500
27,0.4,0.2,0.05928,18.1,24.2,6.226764,9.520194,99.273822,58.488241,50.8,11.53,1.23,1.23,5.57,0.95,58.9,1.14,530,595,0.305
